model,accuracy,precision_macro,recall_macro,f1_macro
CNN,0.93125,0.9355075464176466,0.9312499999999999,0.9294123795561918
Random Forest,0.8375,0.8499894475949397,0.8374999999999999,0.8307444758941113
SVM,0.9075,0.9154383184153256,0.9075,0.9038813092366429
